"sub_category","total_sales","salesperitem","avg_review","category"
"agro_industry_and_commerce",78835.34,430.79,4.027,"Services"
"air_conditioning",62057.7,246.26,4.008,"Eletrical Goods"
"arts_and_craftmanship",31090.5,138.18,4.031,"DIY Goods"
"audio",58126.7,166.08,3.82,"Music, Films.Books"
"auto",710682.21,178.92,4.076,"Household.Textiles"
"baby",505475.34,173.11,4.025,"Household.Textiles"
"bed_bath_table",1463564.36,143.42,3.893,"Household.Textiles"
"books_general_interest",57233.5,109.43,4.478,"Music, Films.Books"
"books_imported",6531.29,110.7,4.39,"Music, Films.Books"
"books_technical",24590.4,93.15,4.341,"Music, Films.Books"
"cds_dvds_musicals",954.99,79.58,4.667,"Music, Films.Books"
"christmas_supplies",12194.59,94.53,4.039,"Household.Textiles"
"cine_photo",8820.71,133.65,4.182,"Eletrical Goods"
"computers",232937.57,1286.95,4.138,"Eletrical Goods"
"computers_accessories",1144540.59,166.41,3.997,"Eletrical Goods"
"consoles_games",177633.31,165.55,4.056,"Eletrical Goods"
"construction_tools_construction",189765.41,242.36,4.057,"DIY Goods"
"construction_tools_lights",56070.69,227.93,4.102,"DIY Goods"
"construction_tools_safety",46690.13,279.58,3.868,"DIY Goods"
"cool_stuff",721901.28,197.89,4.163,"DIY Goods"
"costruction_tools_garden",34283.65,163.26,4.11,"Garden Products"
"costruction_tools_tools",17934.17,184.89,4.371,"DIY Goods"
"diapers_and_hygiene",2101.25,80.82,3.846,"Chemists.Drgustores"
"dvds_blu_ray",6192.46,103.21,4.183,"Music, Films.Books"
"electronics",210307.7,82.15,4.077,"Eletrical Goods"
"fashion_bags_accessories",207025.6,104.51,4.143,"Clothing"
"fashion_childrens_clothes",785.67,98.21,4.5,"Clothing"
"fashion_female_clothing",3653.05,89.1,3.683,"Clothing"
"fashion_male_clothing",15385.64,126.11,3.639,"Clothing"
"fashion_shoes",31824.56,122.87,4.212,"Clothing"
"fashion_sport",2859.56,105.91,4.259,"Sports Equipments"
"fashion_underwear_beach",11633.1,95.35,3.918,"Clothing"
"fixed_telephony",62522.5,292.16,3.925,"Eletrical Goods"
"flowers",1794.87,61.89,4.276,"Food.Consumables"
"food_drink",88811.07,90.07,4.258,"Food.Consumables"
"furniture_bedroom",25158.77,262.07,4.135,"Furniture.Carpets"
"furniture_decor",1025908.64,151.16,3.975,"Furniture.Carpets"
"furniture_living_room",92674.95,216.53,3.991,"Furniture.Carpets"
"furniture_mattress_and_upholstery",5998.54,157.86,3.816,"Furniture.Carpets"
"garden_tools",618077.56,171.64,4.121,"Garden Products"
"health_beauty",1492137.5,165.77,4.167,"Chemists.Drgustores"
"home_appliances",216796.76,215.93,4.152,"Household.Textiles"
"home_comfort",77981.87,180.51,3.838,"Furniture.Carpets"
"home_construction",106800.63,213.6,3.94,"DIY Goods"
"housewares",818028.62,136.61,4.124,"Household.Textiles"
"industry_commerce_and_business",49681,206.15,4.183,"Services"
"kitchen_dining_laundry_garden_furniture",58573.86,238.11,4.049,"Furniture.Carpets"
"la_cuisine",2579.41,198.42,4,"Food.Consumables"
"luggage_accessories",176792.09,168.86,4.34,"Clothing"
"market_place",36750.49,129.86,4.018,"Services"
"music",6901.43,181.62,4.211,"Music, Films.Books"
"musical_instruments",210016.07,334.42,4.182,"Music, Films.Books"
"office_furniture",365022.12,279.71,3.585,"Furniture.Carpets"
"party_supplies",5426.43,139.14,4,"Household.Textiles"
"perfumery",468466.84,144.86,4.19,"Chemists.Drgustores"
"pet_shop",268112.66,151.65,4.199,"Household.Textiles"
"security_and_services",324.51,162.25,2.5,"Services"
"signaling_and_security",31672.94,221.49,4.07,"Services"
"small_appliances",206368.77,330.19,4.178,"Household.Textiles"
"small_appliances_home_oven_and_coffee",51229.32,674.07,4.303,"Furniture.Carpets"
"sports_leisure",1195397.49,152.77,4.155,"Sports Equipments"
"stationery",294586.34,124.25,4.23,"Household.Textiles"
"tablets_printing_image",9217.91,116.68,4.076,"Eletrical Goods"
"telephony",405465.87,94.96,3.979,"Eletrical Goods"
"toys",587080.12,148.59,4.178,"Household.Textiles"
"watches_gifts",1345015.17,232.5,4.037,"Clothing"
